tree_name,n_tips,birth,death,clade_size,shift_node,subclade
t1_N10_clade0.2_b1.5_d0.5,10,1.5,0.5,2,16,t6 t3
t1_N50_clade0.2_b1.5_d0.5,50,1.5,0.5,10,75,t19 t48 t16 t50 t17 t4 t18 t5 t3 t47
t1_N100_clade0.2_b1.5_d0.5,100,1.5,0.5,20,134,t100 t71 t90 t15 t74 t61 t59 t44 t75 t93 t86 t29 t28 t7 t34 t37 t8 t84 t88 t97
t1_N200_clade0.2_b1.5_d0.5,200,1.5,0.5,40,289,t127 t87 t156 t170 t121 t36 t186 t16 t110 t139 t60 t141 t100 t20 t104 t132 t75 t155 t51 t169 t25 t3 t133 t144 t74 t120 t122 t89 t70 t19 t4 t101 t27 t10 t116 t30 t147 t84 t97 t5
t1_N400_clade0.2_b1.5_d0.5,400,1.5,0.5,80,404,t209 t266 t298 t282 t227 t390 t140 t293 t100 t344 t106 t9 t315 t181 t223 t353 t35 t26 t38 t57 t67 t370 t296 t176 t278 t2 t214 t250 t247 t31 t224 t325 t202 t311 t65 t77 t33 t393 t168 t92 t283 t257 t201 t121 t231 t382 t153 t68 t385 t193 t312 t163 t289 t165 t290 t145 t105 t301 t10 t94 t218 t160 t49 t177 t116 t40 t313 t172 t41 t391 t367 t58 t326 t14 t139 t131 t368 t59 t169 t179
t2_N10_clade0.2_b1.5_d0.5,10,1.5,0.5,2,19,t7 t5
t2_N50_clade0.2_b1.5_d0.5,50,1.5,0.5,10,74,t8 t50 t12 t35 t22 t14 t38 t34 t21 t4
t2_N100_clade0.2_b1.5_d0.5,100,1.5,0.5,20,173,t27 t86 t66 t2 t30 t92 t78 t44 t71 t35 t45 t29 t57 t88 t26 t63 t96 t52 t100 t75
t2_N200_clade0.2_b1.5_d0.5,200,1.5,0.5,40,346,t80 t32 t44 t1 t141 t16 t192 t57 t185 t170 t118 t149 t116 t150 t62 t50 t93 t143 t163 t10 t198 t178 t157 t126 t75 t8 t41 t11 t23 t122 t169 t114 t47 t165 t117 t108 t52 t51 t124 t26
t2_N400_clade0.2_b1.5_d0.5,400,1.5,0.5,80,428,t280 t129 t59 t23 t393 t57 t234 t176 t258 t359 t5 t223 t246 t353 t209 t271 t265 t122 t22 t172 t180 t193 t372 t283 t392 t55 t4 t31 t37 t356 t178 t138 t355 t358 t105 t267 t14 t27 t368 t302 t133 t90 t306 t218 t331 t145 t197 t53 t344 t46 t309 t29 t132 t13 t282 t269 t163 t229 t206 t108 t153 t111 t351 t149 t190 t329 t20 t100 t337 t380 t316 t84 t173 t247 t315 t101 t192 t357 t58 t291
t3_N10_clade0.2_b1.5_d0.5,10,1.5,0.5,2,19,t10 t7
t3_N50_clade0.2_b1.5_d0.5,50,1.5,0.5,10,55,t45 t40 t25 t44 t21 t12 t10 t1 t35 t22
t3_N100_clade0.2_b1.5_d0.5,100,1.5,0.5,20,133,t77 t62 t73 t78 t19 t44 t88 t92 t75 t96 t49 t98 t51 t1 t59 t94 t53 t4 t57 t60
t3_N200_clade0.2_b1.5_d0.5,200,1.5,0.5,40,361,t115 t192 t106 t196 t38 t57 t84 t24 t64 t12 t98 t114 t169 t61 t78 t132 t143 t66 t186 t89 t28 t178 t104 t185 t160 t56 t121 t81 t71 t15 t138 t18 t25 t95 t157 t47 t111 t4 t49 t44
t3_N400_clade0.2_b1.5_d0.5,400,1.5,0.5,80,721,t195 t170 t353 t343 t276 t3 t368 t314 t132 t81 t23 t386 t40 t394 t102 t134 t311 t399 t126 t99 t78 t12 t120 t358 t337 t296 t257 t27 t25 t348 t307 t244 t98 t373 t201 t356 t156 t113 t232 t5 t171 t376 t277 t96 t188 t48 t86 t70 t214 t294 t379 t108 t189 t82 t208 t121 t268 t320 t34 t136 t273 t44 t18 t104 t2 t31 t16 t17 t291 t103 t147 t127 t235 t148 t328 t255 t154 t243 t124 t216
t4_N10_clade0.2_b1.5_d0.5,10,1.5,0.5,2,14,t10 t7
t4_N50_clade0.2_b1.5_d0.5,50,1.5,0.5,10,79,t6 t12 t34 t29 t15 t46 t5 t49 t47 t25
t4_N100_clade0.2_b1.5_d0.5,100,1.5,0.5,20,181,t18 t90 t32 t10 t88 t64 t69 t82 t85 t80 t40 t74 t53 t78 t9 t96 t63 t97 t14 t81
t4_N200_clade0.2_b1.5_d0.5,200,1.5,0.5,40,205,t10 t161 t129 t15 t69 t97 t48 t39 t135 t59 t53 t139 t54 t46 t114 t194 t45 t36 t81 t40 t160 t125 t140 t145 t16 t138 t146 t186 t30 t123 t71 t155 t178 t173 t18 t28 t68 t21 t74 t79
t4_N400_clade0.2_b1.5_d0.5,400,1.5,0.5,80,668,t131 t216 t198 t377 t262 t149 t264 t277 t10 t85 t218 t350 t186 t342 t47 t381 t358 t278 t290 t375 t368 t135 t310 t247 t226 t51 t268 t155 t15 t45 t96 t175 t208 t244 t14 t146 t151 t367 t334 t75 t29 t171 t207 t44 t376 t109 t9 t4 t130 t322 t167 t296 t48 t337 t288 t181 t139 t271 t398 t338 t240 t127 t83 t108 t23 t24 t78 t382 t1 t119 t258 t153 t214 t301 t394 t21 t159 t70 t294 t355
t5_N10_clade0.2_b1.5_d0.5,10,1.5,0.5,2,18,t3 t2
t5_N50_clade0.2_b1.5_d0.5,50,1.5,0.5,10,53,t6 t14 t43 t7 t44 t24 t18 t3 t2 t38
t5_N100_clade0.2_b1.5_d0.5,100,1.5,0.5,20,156,t80 t72 t61 t6 t21 t37 t41 t48 t88 t40 t60 t23 t38 t50 t19 t14 t3 t39 t28 t53
t5_N200_clade0.2_b1.5_d0.5,200,1.5,0.5,40,277,t89 t46 t141 t10 t91 t31 t53 t25 t16 t47 t79 t26 t188 t142 t140 t194 t23 t173 t2 t191 t146 t166 t37 t113 t8 t51 t84 t61 t192 t45 t159 t81 t13 t82 t110 t151 t115 t107 t58 t200
t5_N400_clade0.2_b1.5_d0.5,400,1.5,0.5,80,440,t25 t218 t389 t247 t16 t123 t33 t59 t162 t208 t258 t241 t125 t399 t8 t266 t20 t102 t211 t74 t310 t61 t360 t289 t100 t227 t36 t17 t53 t291 t384 t305 t41 t345 t254 t14 t45 t397 t182 t93 t81 t362 t395 t249 t97 t174 t372 t286 t111 t318 t105 t339 t336 t314 t203 t363 t126 t349 t165 t133 t199 t380 t338 t31 t190 t3 t127 t281 t295 t332 t135 t2 t347 t282 t106 t195 t12 t225 t69 t248
t6_N10_clade0.2_b1.5_d0.5,10,1.5,0.5,2,19,t10 t3
t6_N50_clade0.2_b1.5_d0.5,50,1.5,0.5,10,89,t15 t46 t40 t45 t36 t26 t5 t35 t11 t28
t6_N100_clade0.2_b1.5_d0.5,100,1.5,0.5,20,108,t19 t70 t56 t21 t75 t6 t77 t30 t22 t8 t97 t4 t12 t62 t53 t31 t52 t16 t94 t67
t6_N200_clade0.2_b1.5_d0.5,200,1.5,0.5,40,361,t102 t181 t95 t131 t22 t43 t133 t109 t160 t31 t12 t25 t126 t145 t164 t100 t96 t68 t42 t51 t166 t157 t168 t190 t47 t36 t35 t114 t122 t192 t154 t83 t103 t159 t179 t90 t24 t61 t141 t138
t6_N400_clade0.2_b1.5_d0.5,400,1.5,0.5,80,518,t297 t320 t355 t43 t384 t295 t101 t114 t214 t164 t242 t151 t388 t268 t44 t134 t159 t81 t196 t260 t172 t202 t271 t210 t102 t311 t313 t334 t140 t160 t346 t275 t398 t194 t152 t127 t57 t115 t52 t104 t278 t186 t143 t28 t15 t162 t293 t347 t301 t97 t241 t51 t247 t287 t228 t233 t370 t285 t299 t86 t72 t203 t99 t75 t189 t251 t25 t181 t124 t387 t142 t361 t239 t208 t237 t58 t68 t331 t222 t379
t7_N10_clade0.2_b1.5_d0.5,10,1.5,0.5,2,13,t7 t2
t7_N50_clade0.2_b1.5_d0.5,50,1.5,0.5,10,70,t44 t16 t41 t30 t32 t12 t6 t13 t36 t48
t7_N100_clade0.2_b1.5_d0.5,100,1.5,0.5,20,117,t25 t68 t63 t60 t18 t48 t11 t86 t80 t41 t42 t13 t98 t44 t54 t32 t29 t34 t35 t37
t7_N200_clade0.2_b1.5_d0.5,200,1.5,0.5,40,255,t45 t96 t69 t196 t29 t159 t171 t155 t153 t185 t86 t106 t192 t6 t82 t84 t127 t163 t28 t166 t145 t199 t146 t30 t65 t32 t143 t123 t71 t136 t139 t174 t109 t39 t14 t140 t20 t138 t80 t181
t7_N400_clade0.2_b1.5_d0.5,400,1.5,0.5,80,637,t260 t194 t390 t217 t197 t22 t283 t176 t275 t213 t129 t238 t372 t233 t71 t167 t223 t36 t113 t332 t237 t209 t38 t18 t58 t152 t234 t248 t228 t153 t324 t119 t254 t211 t98 t125 t319 t165 t131 t352 t8 t59 t35 t55 t266 t191 t264 t62 t210 t333 t292 t395 t368 t190 t75 t124 t171 t277 t285 t242 t267 t65 t235 t380 t216 t84 t232 t134 t268 t394 t340 t323 t341 t241 t186 t321 t337 t4 t367 t60
t8_N10_clade0.2_b1.5_d0.5,10,1.5,0.5,2,18,t5 t2
t8_N50_clade0.2_b1.5_d0.5,50,1.5,0.5,10,59,t32 t41 t33 t35 t9 t1 t14 t31 t21 t49
t8_N100_clade0.2_b1.5_d0.5,100,1.5,0.5,20,138,t13 t4 t33 t57 t100 t67 t11 t72 t66 t93 t23 t64 t40 t46 t41 t70 t89 t32 t3 t47
t8_N200_clade0.2_b1.5_d0.5,200,1.5,0.5,40,265,t120 t27 t104 t166 t66 t185 t115 t39 t29 t149 t53 t38 t112 t196 t86 t156 t46 t176 t155 t6 t197 t5 t13 t111 t153 t71 t17 t26 t72 t101 t19 t129 t195 t141 t7 t58 t147 t109 t79 t14
t8_N400_clade0.2_b1.5_d0.5,400,1.5,0.5,80,607,t125 t98 t176 t167 t87 t349 t51 t202 t300 t283 t345 t52 t275 t318 t157 t371 t307 t337 t215 t292 t102 t158 t351 t35 t69 t164 t30 t240 t161 t320 t284 t39 t369 t361 t172 t310 t105 t205 t38 t94 t106 t116 t54 t133 t42 t74 t309 t347 t322 t11 t221 t192 t126 t168 t281 t85 t206 t326 t109 t239 t270 t28 t111 t303 t49 t368 t241 t147 t47 t83 t325 t64 t122 t317 t370 t348 t308 t388 t324 t400
t9_N10_clade0.2_b1.5_d0.5,10,1.5,0.5,2,19,t3 t7
t9_N50_clade0.2_b1.5_d0.5,50,1.5,0.5,10,91,t32 t41 t47 t6 t38 t27 t43 t33 t45 t40
t9_N100_clade0.2_b1.5_d0.5,100,1.5,0.5,20,178,t62 t25 t68 t7 t97 t78 t48 t81 t67 t85 t15 t46 t63 t1 t2 t86 t20 t36 t37 t82
t9_N200_clade0.2_b1.5_d0.5,200,1.5,0.5,40,361,t185 t180 t155 t110 t124 t113 t6 t81 t99 t172 t98 t42 t168 t150 t12 t120 t102 t191 t189 t140 t22 t175 t92 t142 t51 t50 t154 t151 t34 t18 t112 t188 t78 t15 t108 t59 t21 t67 t72 t174
t9_N400_clade0.2_b1.5_d0.5,400,1.5,0.5,80,403,t199 t374 t320 t278 t182 t200 t247 t330 t185 t14 t298 t83 t29 t27 t165 t25 t387 t309 t349 t295 t33 t217 t196 t36 t400 t184 t254 t302 t307 t67 t263 t41 t169 t210 t109 t176 t206 t380 t105 t66 t321 t306 t354 t98 t90 t355 t54 t262 t52 t145 t15 t91 t113 t233 t23 t219 t342 t180 t323 t345 t96 t148 t282 t194 t287 t177 t332 t269 t127 t386 t253 t225 t146 t12 t250 t49 t231 t10 t293 t256
t10_N10_clade0.2_b1.5_d0.5,10,1.5,0.5,2,16,t3 t2
t10_N50_clade0.2_b1.5_d0.5,50,1.5,0.5,10,84,t47 t34 t33 t41 t17 t24 t10 t38 t12 t37
t10_N100_clade0.2_b1.5_d0.5,100,1.5,0.5,20,114,t25 t64 t68 t79 t46 t42 t58 t77 t14 t1 t72 t35 t83 t17 t61 t74 t59 t63 t12 t3
t10_N200_clade0.2_b1.5_d0.5,200,1.5,0.5,40,238,t42 t176 t50 t131 t111 t23 t64 t170 t20 t169 t174 t35 t34 t32 t99 t18 t183 t6 t101 t178 t29 t68 t137 t142 t70 t5 t161 t104 t198 t109 t45 t158 t138 t65 t123 t90 t7 t51 t98 t63
t10_N400_clade0.2_b1.5_d0.5,400,1.5,0.5,80,600,t283 t191 t378 t76 t317 t364 t18 t207 t201 t336 t69 t141 t302 t240 t20 t341 t248 t73 t176 t41 t113 t123 t121 t337 t95 t335 t36 t139 t271 t250 t374 t146 t135 t366 t89 t163 t269 t368 t195 t215 t165 t256 t168 t155 t174 t348 t120 t331 t78 t77 t129 t90 t311 t157 t44 t193 t315 t74 t125 t7 t115 t116 t57 t230 t186 t39 t197 t261 t287 t177 t285 t104 t188 t293 t288 t254 t179 t110 t367 t267
